env,nic_mode,qos,direction,pod_config,is_fair,network_type,throughput_mbps_mean,throughput_mbps_std,throughput_mbps_count,throughput_mbps_sem,latency_ms_mean,latency_ms_std,latency_ms_count,latency_ms_sem,packet_loss_pct_mean,packet_loss_pct_std,packet_loss_pct_count,packet_loss_pct_sem,jitter_ms_mean,jitter_ms_std,jitter_ms_count,jitter_ms_sem,cpu_mean_mean,cpu_mean_std,cpu_mean_count,cpu_mean_sem,ram_mean_mean,ram_mean_std,ram_mean_count,ram_mean_sem,throughput_mbps_cv,latency_ms_cv,jitter_ms_cv,cpu_mean_cv,cpu_per_mbps,throughput_norm,qos_effect_pct
DOCKER,MACVLAN,NOQOS,none,NONE,False,internal,12866.145790300478,3197.751897350254,10,1011.2179387751756,0.1708,0.11886014190355543,10,0.03758687714260568,0.0,0.0,10,0.0,0.7495999999999999,1.0500163173335293,10,0.33204431431160913,83.57411494252874,7.944505868622182,10,2.5122733429420507,2083.5807252873565,27.78383327871562,10,8.786019529112519,24.854000175879968,69.59024701613316,140.07688331557222,9.505940773749582,0.006495660495743297,100.0,100.0
DOCKER,MACVLAN,QOS1 C-_S,sc,NONE,False,internal,27.669490802027106,3.798725054737969,10,1.2012623377719782,0.15460000000000002,0.04271663740407373,10,0.013508186818041534,0.0,0.0,10,0.0,0.3975,0.2577433046872627,10,0.08150558944705028,12.503807151979565,9.252580189432846,10,2.925922763196,2194.711058237548,28.79489728705355,10,9.105746041769253,13.728930112655593,27.630425229025697,64.84108294019187,73.99810375328771,0.45189870827198303,0.08841442817470599,0.21505656202719672
DOCKER,MACVLAN,QOS1 S-_C,sc,NONE,False,internal,2209.136368412588,135.09190212834898,3,77.99534605914087,151.13366666666664,173.30511600738546,3,100.05775537880332,7.0,12.12435565298214,3,7.0,186.8066666666667,317.8690758855497,3,183.5217965295797,39.555555555555564,44.814563894308264,3,25.87370052799456,1144.6352222222224,108.60879753466553,3,62.7053184930007,6.115145450501163,114.67009292484059,170.15938539963759,113.2952458002175,0.017905438578234477,7.0590214388345816,17.170148733103975
DOCKER,MACVLAN,QOS2 C-_S,sc,NONE,False,internal,1771.567610275013,460.2760867330982,10,145.55207865857997,57.8917,3.0108400470448258,10,0.9521112219110165,0.0,0.0,10,0.0,24.0511,12.49457695206649,10,3.951132156877458,22.552814814814816,11.839507237734734,10,3.7439809245290387,2220.1948666666667,35.42661143906232,10,11.202878192921233,25.98128821409454,5.20081470581245,51.95012682191871,52.49680509927936,0.012730428510890297,5.660824709640864,13.769217597476327
DOCKER,MACVLAN,QOS2 S-_C,sc,NONE,False,internal,37.50712544303504,0.6553075875847414,10,0.20722645447580615,25.3091,0.057167298344419935,10,0.01807788704467399,2.2,5.977736472389306,10,1.8903262505010434,0.383,0.2059940667969725,10,0.0651410435559299,7.943666666666667,7.689275752952177,10,2.4315624936435065,2200.7564666666667,10.701054348884279,10,3.383970510772444,1.747154920149793,0.22587645686500085,53.784351644118146,96.79756308529448,0.21179086834397176,0.11984937027753186,0.29151795770347083
KUBERNETES,K8S_1 POD,NOQOS,none,1 POD,True,external,53.42368685294429,20.120395304963875,7,7.6047946081780005,10.692714285714287,7.260923809779894,7,2.744371241323608,0.5714285714285714,1.1338934190276817,7,0.4285714285714286,24.247999999999998,36.67439863628759,7,13.861619753494763,57.77952380952381,42.9741100538526,7,16.242686859544932,2359.533761904762,1090.415159867404,7,412.1381912605557,37.66193703618379,67.90533830573455,151.24710753995214,74.37601977392754,1.0815338141781479,131.29329185488322,100.0
KUBERNETES,K8S_1 POD,QOS1 C-_S,sc,1 POD,True,external,40.054348543420524,28.469961792877115,9,9.48998726429237,17.242375,12.274895122478934,8,4.339830789729266,0.875,1.2464234547582247,8,0.4406772385447523,66.0955,68.8560614221539,8,24.344293978701227,3.8746835443037977,0.0,9,0.0,554.8313924050631,0.0,9,0.0,71.07832939041445,71.1902804716806,104.17662537109773,0.0,0.09673565256225514,98.43699645522874,74.97488642757915
KUBERNETES,K8S_1 POD,QOS1 S-_C,sc,1 POD,True,external,71.59374664923575,12.703908711188717,10,4.017328671421055,9.0295,0.9609257399912743,10,0.3038714000655175,0.3,0.48304589153964794,10,0.15275252316519466,9.9727,3.3761872660673844,10,1.0676441568029846,99.05622156810276,0.0,10,0.0,1631.0463687449826,0.0,10,0.0,17.744439012851032,10.642070324949048,33.85429488571184,0.0,1.3835876204861275,175.94777200002693,134.01124270271148
KUBERNETES,K8S_1 POD,QOS2 C-_S,sc,1 POD,True,external,51.67978198341355,9.071845380157281,10,2.8687693982173093,10.1753,2.7353252518363034,10,0.8649857937176388,0.5,0.8498365855987974,10,0.26874192494328497,14.9511,12.94595311670794,10,4.0938698330552725,99.715664160401,0.0,10,0.0,1577.4862197159564,0.0,10,0.0,17.553954432448766,26.882010867849633,86.58863305514605,0.0,1.9294908053676467,127.00749608731101,96.73570849887041
KUBERNETES,K8S_1 POD,QOS2 S-_C,sc,1 POD,True,external,85.13724016537462,11.278706046362442,7,4.262950187039365,9.351857142857144,1.7152775702075578,7,0.6483139828880473,0.42857142857142855,0.7867957924694432,7,0.2973808570665904,9.589571428571428,3.883118714690675,7,1.4676809186303288,99.715664160401,0.0,7,0.0,1577.4862197159564,0.0,7,0.0,13.247676368712618,18.341571561726326,40.493141363139614,0.0,1.1712343971534496,209.2320687548313,159.36234502071346
KUBERNETES,K8S_10 POD,NOQOS,none,10 POD,True,external,0.33551443095029504,0.19078968530534582,5,0.0853237411497092,904.1726000000001,241.18553123539564,5,107.8614486063487,6.0,2.23606797749979,5,1.0,1058.791,322.50768137751385,5,144.22981976519281,7.74,5.926120616014794,5,2.6502417080544016,2300.301666666667,63.39743608292799,5,28.352195336124993,56.86482240568974,26.674722418639497,30.459994595488048,76.56486583998442,23.069052434131056,0.8245554865117741,100.0
